,duration,route_id,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,score_route
0,2068.9462089538574,RouteScenario_0,0,0,0,0,0,0,0,0,0,100.0
1,2322.887303352356,RouteScenario_0,0,0,0,0,0,0,0,0,0,100.0
2,2335.9672186374664,RouteScenario_0,0,0,0,0,0,0,0,0,0,100.0
3,2217.7481129169464,RouteScenario_0,0,0,0,0,0,0,0,0,0,100.0
4,2301.712647676468,RouteScenario_0,0,0,0,0,0,0,0,0,0,100.0
5,2279.2887258529663,RouteScenario_0,0,0,0,0,0,0,0,0,0,100.0
6,2512.2700707912445,RouteScenario_0,0,0,0,0,0,0,0,0,0,100.0
7,2244.6912474632263,RouteScenario_0,0,0,0,0,0,0,0,0,0,100.0
8,2133.7420575618744,RouteScenario_0,0,0,0,0,0,0,0,0,0,100.0
9,2533.0324804782867,RouteScenario_0,0,0,0,0,0,0,0,0,0,100.0
10,2549.1927213668823,RouteScenario_1,0,0,0,0,0,0,0,0,1,33.95200221350425
11,1912.5870144367218,RouteScenario_1,0,0,0,0,0,0,0,0,1,33.71080005907807
12,1941.6004891395569,RouteScenario_1,0,0,0,0,0,0,0,0,1,33.71080005907807
13,2729.4017667770386,RouteScenario_1,0,0,0,0,0,0,0,0,0,100.0
14,1967.4555296897888,RouteScenario_1,0,0,0,0,0,0,0,0,1,33.71080005907807
15,2272.209235429764,RouteScenario_1,0,0,0,0,0,0,0,0,1,33.95200221350425
16,1667.1305577754974,RouteScenario_1,0,0,0,0,0,0,0,0,1,33.71080005907807
17,2649.9316980838776,RouteScenario_1,0,0,0,0,0,0,0,0,0,100.0
18,1759.4024801254272,RouteScenario_1,0,0,0,0,0,0,0,0,1,33.71080005907807
19,2071.7087993621826,RouteScenario_1,0,0,0,0,0,0,0,0,1,33.95200221350425
20,1649.243679523468,RouteScenario_2,0,0,0,0,0,0,0,0,0,100.0
21,1654.0858368873596,RouteScenario_2,0,0,0,0,0,0,0,0,0,100.0
22,1638.3401143550873,RouteScenario_2,0,0,0,0,0,0,0,0,0,100.0
23,2078.252501010895,RouteScenario_2,0,0,1,0,0,0,0,0,0,100.0
24,1636.1250557899475,RouteScenario_2,0,0,0,0,0,0,0,0,0,100.0
25,1719.4143805503845,RouteScenario_2,0,0,0,0,0,0,0,0,0,100.0
26,1637.5109021663666,RouteScenario_2,0,0,0,0,0,0,0,0,0,100.0
27,2094.287942647934,RouteScenario_2,0,0,0,0,0,0,0,0,0,100.0
28,1653.3559267520905,RouteScenario_2,0,0,0,0,0,0,0,0,0,100.0
29,1679.8353698253632,RouteScenario_2,0,0,0,0,0,0,0,0,0,100.0
30,1476.2507147789001,RouteScenario_3,0,0,0,0,0,0,0,0,0,100.0
31,1728.5821859836578,RouteScenario_3,0,0,0,0,0,0,0,0,0,100.0
32,1734.2091872692108,RouteScenario_3,0,0,0,0,0,0,0,0,0,100.0
