,Road type,Road ID,Scenario Length,Vehicle_in_front,vehicle_in_adjcent_lane,vehicle_in_opposite_lane,vehicle_in_front_two_wheeled,vehicle_in_adjacent_two_wheeled,vehicle_in_opposite_two_wheeled,time of day,weather,Number of People,Target Speed,Trees in scenario,Buildings in Scenario,task,f1,f2,f3,f4,f5
51,1,2,0,0,1,0,0,0,1,2,3,1,2,1,1,0,0.7621739130434783,1.0,1.0,1.0,1.0
52,1,1,0,0,1,1,0,0,0,1,0,1,2,1,1,0,0.7024347826086956,1.0,1.0,1.0,1.0
53,1,1,0,1,0,1,1,1,1,2,4,1,3,1,1,0,0.636695652173913,1.0,1.0,1.0,1.0
54,1,1,0,1,0,1,1,0,0,0,0,0,4,1,1,0,0.6068695652173912,1.0,1.0,1.0,1.0
55,3,1,0,1,0,0,0,0,0,0,5,1,4,1,1,0,0.9444347826086956,1.0,1.0,1.0,1.0
56,0,1,0,1,1,0,1,1,1,1,6,1,2,1,1,0,0.9674782608695652,1.0,1.0,1.0,1.0
57,1,0,0,1,1,1,0,0,1,2,3,0,4,1,1,0,0.28486956521739126,0.9,1.0,1.0,1.0
58,2,0,0,0,1,1,1,0,0,1,2,1,4,1,1,0,0.6436521739130434,1.0,1.0,1.0,1.0
59,1,2,0,0,1,1,1,0,1,1,1,0,3,1,1,0,0.7785217391304348,1.0,1.0,1.0,1.0
60,2,2,0,1,1,0,1,0,0,1,6,1,2,1,1,0,0.7591304347826087,1.0,1.0,1.0,1.0
61,1,0,0,0,1,0,0,1,0,2,2,1,4,1,1,0,0.5113913043478261,1.0,1.0,1.0,1.0
62,3,0,0,0,0,0,1,0,0,2,1,1,2,1,1,2,0.8094782608695652,1.0,1.0,1.0,1.0
63,3,3,0,0,0,1,0,1,0,2,4,1,3,1,1,0,0.9976521739130435,1.0,1.0,1.0,1.0
64,1,1,0,0,1,1,0,1,1,2,6,1,2,1,1,0,0.7285217391304348,1.0,1.0,1.0,1.0
65,2,0,0,0,1,1,0,0,1,1,4,0,2,1,1,0,0.5487826086956521,1.0,1.0,1.0,1.0
66,3,2,0,0,0,1,0,1,1,0,4,0,4,1,1,2,0.6281739130434782,1.0,1.0,1.0,1.0
67,3,2,0,1,1,0,0,1,0,2,5,1,3,1,1,0,0.926695652173913,1.0,1.0,1.0,0.3685063056808979
68,1,3,0,1,1,0,1,0,0,0,5,0,2,1,1,0,0.6270434782608696,1.0,1.0,1.0,1.0
69,2,2,0,0,0,0,1,1,1,1,0,1,2,1,1,0,0.7639130434782608,1.0,1.0,1.0,1.0
70,1,1,0,0,0,1,1,0,1,1,4,1,2,1,1,0,0.7377391304347827,1.0,1.0,1.0,1.0
71,0,3,0,1,0,0,1,1,1,0,0,1,4,1,1,0,0.884,0.03,1.0,1.0,1.0
72,0,2,0,1,1,0,1,1,1,2,3,0,3,1,1,0,0.9616521739130435,1.0,1.0,1.0,1.0
73,1,3,0,0,0,0,0,1,1,1,6,0,2,1,1,0,0.6166086956521739,1.0,1.0,1.0,1.0
74,3,1,0,1,1,0,1,0,0,1,5,0,4,1,1,1,0.28426086956521734,0.06,1.0,1.0,1.0
75,2,3,0,1,0,0,0,0,1,2,4,0,3,1,1,0,0.45034782608695645,1.0,1.0,0.17,1.0
76,3,1,0,1,1,0,0,0,1,0,2,1,3,1,1,0,0.8403478260869565,1.0,1.0,1.0,1.0
77,0,1,0,0,1,0,1,0,0,2,3,0,4,1,1,0,0.9959130434782608,1.0,1.0,1.0,1.0
78,0,1,0,0,1,0,0,0,1,2,6,0,2,1,1,0,0.9720869565217392,1.0,1.0,1.0,1.0
79,2,3,0,1,1,1,1,0,0,1,0,0,3,1,1,0,0.45034782608695645,1.0,1.0,0.15,1.0
80,2,2,0,1,1,1,0,0,0,2,2,0,2,1,1,0,0.7606086956521739,1.0,1.0,1.0,1.0
81,0,2,0,1,1,1,0,1,0,1,2,1,2,1,1,0,0.9625217391304348,1.0,1.0,1.0,1.0
82,0,1,0,0,1,1,0,1,1,1,5,1,2,1,1,0,0.9669565217391304,1.0,1.0,1.0,1.0
83,2,2,0,1,1,1,0,0,1,2,4,0,3,1,1,0,0.6091304347826086,1.0,1.0,1.0,1.0
84,0,0,0,0,1,1,1,0,0,1,4,1,3,1,1,0,0.9849565217391304,1.0,1.0,1.0,1.0
85,3,2,0,0,1,0,1,0,0,2,6,0,4,1,1,1,0.2577391304347826,1.0,1.0,1.0,1.0
86,2,0,0,1,1,1,0,0,1,2,6,1,3,1,1,0,0.516695652173913,1.0,1.0,1.0,1.0
87,2,0,0,1,0,1,0,1,0,1,2,1,2,1,1,0,0.5339130434782609,1.0,1.0,1.0,1.0
88,0,0,0,0,0,0,1,0,1,1,1,0,2,1,1,0,0.946695652173913,1.0,1.0,1.0,1.0
89,1,2,0,0,0,0,1,0,1,2,0,1,3,1,1,0,0.7664347826086957,1.0,1.0,1.0,1.0
90,2,2,0,0,0,1,1,0,1,0,0,1,3,1,1,0,0.7307826086956521,1.0,1.0,1.0,1.0
91,1,3,0,0,1,1,0,1,1,1,4,0,2,1,1,0,0.6409565217391304,1.0,1.0,1.0,1.0
92,0,1,0,0,1,1,1,0,1,2,1,1,3,1,1,0,0.9914782608695653,1.0,1.0,1.0,1.0
93,2,3,0,1,1,1,1,0,0,0,6,0,2,1,1,0,0.45034782608695645,1.0,1.0,0.11,1.0
94,1,2,0,1,0,0,1,1,1,2,6,1,4,1,1,0,0.7733043478260869,1.0,1.0,1.0,1.0
95,0,2,0,0,0,0,1,1,1,1,3,1,2,1,1,0,0.9648695652173913,1.0,1.0,1.0,1.0
96,2,3,0,1,1,0,1,1,1,1,6,1,4,1,1,0,0.45034782608695645,0.07,1.0,0.24,1.0
97,1,2,0,0,0,1,0,1,0,0,1,1,2,1,1,0,0.7809565217391304,1.0,1.0,1.0,1.0
98,0,2,0,0,0,0,1,1,1,2,3,0,2,1,1,0,0.9659130434782609,1.0,1.0,1.0,1.0
